9.25	429	14.75	428	17	738	24.25	649	30.75	772	37.25	719		
9.375	423	14.875	427	17.125	730	24.375	646	30.875	769	37.375	712		
9.5	417	15	426	17.25	723	24.5	642	31	765	37.5	706		
9.625	411	15.125	425	17.375	715	24.625	639	31.125	761	37.625	700		
9.75	406	15.25	424	17.5	708	24.75	635	31.25	757	37.75	694		
9.875	401	15.375	423	17.625	700	24.875	632	31.375	753	37.875	689		
10	396	15.5	422	17.75	692	25	629	31.5	749	38	685		
10.125	392	15.625	422	17.875	684	25.125	626	31.625	745	38.125	680		
10.25	387	15.75	421	18	676	25.25	623	31.75	741	38.25	676		
10.375	383	15.875	420	18.125	668	25.375	621	31.875	738	38.375	672		
10.5	378	16	419	18.25	659	25.5	618	32	734	38.5	669		
10.625	374	16.125	418	18.375	651	25.625	616	32.125	730	38.625	665		
10.75	370	16.25	417	18.5	643	25.75	613	32.25	726	38.75	662		
10.875	366	16.375	416	18.625	634	25.875	611	32.375	723	38.875	659		
11	362	16.5	415	18.75	626	26	609	32.5	719	39	656		
11.125	358	16.625	414	18.875	617	26.125	607	32.625	716	39.125	654		
11.25	354	16.75	413	19	609	26.25	604	32.75	712	39.25	651		
11.375	350	16.875	412	19.125	601	26.375	602	32.875	708	39.375	649		
11.5	346	17	411	19.25	592	26.5	600	33	705	39.5	646		
11.625	342	17.125	410	19.375	584	26.625	599	33.125	701	39.625	644		
11.75	338	17.25	409	19.5	576	26.75	597	33.25	698	39.75	642		
11.875	335	17.375	408	19.625	569	26.875	595	33.375	694	39.875	640		
12	331	17.5	407	19.75	561	27	593	33.5	691	40	638		
12.125	327	17.625	405	19.875	554	27.125	592	33.625	688				
12.25	323	17.75	404	20	547	27.25	590	33.75	684				
12.375	319	17.875	403	20.125	541	27.375	588	33.875	681				
12.5	315	18	402	20.25	534	27.5	587	34	677				
12.625	311	18.125	401	20.375	529	27.625	585	34.125	673				
12.75	307	18.25	399	20.5	523	27.75	584	34.25	670				
12.875	303	18.375	398	20.625	518	27.875	582	34.375	666				
13	299	18.5	397	20.75	514	28	581	34.5	663				
13.125	295	18.625	395	20.875	509	28.125	580	34.625	659				
13.25	290	18.75	394	21	505	28.25	578	34.75	655				
13.375	286	18.875	392	21.125	501	28.375	577	34.875	651				
13.5	281	19	391	21.25	498	28.5	576	35	648				
13.625	276	19.125	389	21.375	494	28.625	574	35.125	644				
13.75	271	19.25	388	21.5	491	28.75	573	35.25	639				
