0.0016	-0.00055015	4.62E-09	-5.02E-08	0.000328961	4.24E-12	1.06E-14	1.62E-07	1.92E-30	3.75E-33	-5.21E-26	3.03E-17	2.44E-28	-1.23E-29	2.06E-39	1.03E-40	3.69E-13	-2.41E-34	2.03E-40	-3.92E-35	-1.30E-63	-3.44E-33	-1.23E-48	1.51E-36	-2.30E-62
0.0017	-0.000576781	4.86E-09	-5.30E-08	0.000347582	4.48E-12	1.12E-14	1.71E-07	2.03E-30	3.95E-33	-5.51E-26	3.21E-17	2.59E-28	-1.30E-29	2.18E-39	1.09E-40	3.92E-13	-2.56E-34	2.16E-40	-4.16E-35	-1.38E-63	-3.65E-33	-1.30E-48	1.60E-36	-2.44E-62
0.0018	-0.000602555	5.10E-09	-5.56E-08	0.00036598	4.72E-12	1.18E-14	1.81E-07	2.14E-30	4.16E-33	-5.81E-26	3.39E-17	2.73E-28	-1.37E-29	2.31E-39	1.15E-40	4.14E-13	-2.71E-34	2.28E-40	-4.40E-35	-1.45E-63	-3.86E-33	-1.38E-48	1.69E-36	-2.58E-62
0.0019	-0.00062748	5.34E-09	-5.83E-08	0.000384157	4.95E-12	1.25E-14	1.90E-07	2.25E-30	4.36E-33	-6.10E-26	3.56E-17	2.88E-28	-1.44E-29	2.43E-39	1.21E-40	4.37E-13	-2.85E-34	2.40E-40	-4.64E-35	-1.53E-63	-4.06E-33	-1.45E-48	1.79E-36	-2.72E-62
0.002	-0.000651566	5.57E-09	-6.09E-08	0.000402114	5.19E-12	1.31E-14	1.99E-07	2.35E-30	4.56E-33	-6.39E-26	3.74E-17	3.02E-28	-1.52E-29	2.55E-39	1.27E-40	4.59E-13	-3.00E-34	2.52E-40	-4.88E-35	-1.61E-63	-4.27E-33	-1.52E-48	1.88E-36	-2.86E-62
0.0021	-0.000674822	5.80E-09	-6.34E-08	0.000419851	5.42E-12	1.37E-14	2.09E-07	2.46E-30	4.76E-33	-6.68E-26	3.92E-17	3.16E-28	-1.59E-29	2.66E-39	1.33E-40	4.81E-13	-3.14E-34	2.64E-40	-5.11E-35	-1.69E-63	-4.48E-33	-1.60E-48	1.97E-36	-3.00E-62
0.0022	-0.000697257	6.02E-09	-6.59E-08	0.000437369	5.65E-12	1.43E-14	2.18E-07	2.56E-30	4.95E-33	-6.97E-26	4.09E-17	3.30E-28	-1.66E-29	2.78E-39	1.39E-40	5.03E-13	-3.28E-34	2.76E-40	-5.35E-35	-1.76E-63	-4.69E-33	-1.67E-48	2.06E-36	-3.14E-62
0.0023	-0.00071888	6.23E-09	-6.84E-08	0.00045467	5.87E-12	1.48E-14	2.27E-07	2.66E-30	5.14E-33	-7.26E-26	4.26E-17	3.44E-28	-1.73E-29	2.90E-39	1.45E-40	5.25E-13	-3.43E-34	2.88E-40	-5.58E-35	-1.84E-63	-4.89E-33	-1.74E-48	2.15E-36	-3.28E-62
0.0024	-0.000739701	6.44E-09	-7.08E-08	0.000471754	6.09E-12	1.54E-14	2.36E-07	2.76E-30	5.33E-33	-7.54E-26	4.44E-17	3.58E-28	-1.80E-29	3.01E-39	1.51E-40	5.47E-13	-3.57E-34	3.00E-40	-5.82E-35	-1.92E-63	-5.10E-33	-1.82E-48	2.24E-36	-3.41E-62
0.0025	-0.000759728	6.65E-09	-7.32E-08	0.000488623	6.32E-12	1.60E-14	2.45E-07	2.86E-30	5.52E-33	-7.82E-26	4.61E-17	3.72E-28	-1.87E-29	3.13E-39	1.57E-40	5.69E-13	-3.71E-34	3.12E-40	-6.05E-35	-1.99E-63	-5.31E-33	-1.89E-48	2.33E-36	-3.55E-62
0.0026	-0.00077897	6.85E-09	-7.55E-08	0.000505276	6.53E-12	1.66E-14	2.54E-07	2.96E-30	5.70E-33	-8.09E-26	4.78E-17	3.85E-28	-1.94E-29	3.24E-39	1.63E-40	5.91E-13	-3.85E-34	3.24E-40	-6.28E-35	-2.07E-63	-5.51E-33	-1.96E-48	2.42E-36	-3.69E-62
0.0027	-0.000797437	7.05E-09	-7.78E-08	0.000521716	6.75E-12	1.72E-14	2.63E-07	3.06E-30	5.88E-33	-8.37E-26	4.95E-17	3.99E-28	-2.01E-29	3.36E-39	1.68E-40	6.13E-13	-3.99E-34	3.36E-40	-6.51E-35	-2.15E-63	-5.71E-33	-2.03E-48	2.51E-36	-3.82E-62
0.0028	-0.000815138	7.24E-09	-8.00E-08	0.000537943	6.96E-12	1.77E-14	2.72E-07	3.16E-30	6.06E-33	-8.64E-26	5.11E-17	4.12E-28	-2.08E-29	3.47E-39	1.74E-40	6.34E-13	-4.13E-34	3.48E-40	-6.74E-35	-2.22E-63	-5.92E-33	-2.11E-48	2.60E-36	-3.96E-62
0.0029	-0.000832082	7.43E-09	-8.22E-08	0.000553957	7.17E-12	1.83E-14	2.81E-07	3.25E-30	6.23E-33	-8.91E-26	5.28E-17	4.26E-28	-2.14E-29	3.58E-39	1.80E-40	6.56E-13	-4.27E-34	3.59E-40	-6.98E-35	-2.30E-63	-6.12E-33	-2.18E-48	2.69E-36	-4.10E-62
0.003	-0.000848277	7.61E-09	-8.43E-08	0.000569761	7.38E-12	1.88E-14	2.90E-07	3.35E-30	6.40E-33	-9.17E-26	5.45E-17	4.39E-28	-2.21E-29	3.69E-39	1.86E-40	6.77E-13	-4.41E-34	3.71E-40	-7.20E-35	-2.37E-63	-6.32E-33	-2.25E-48	2.78E-36	-4.23E-62
0.0031	-0.000863734	7.79E-09	-8.64E-08	0.000585355	7.58E-12	1.94E-14	2.98E-07	3.44E-30	6.57E-33	-9.44E-26	5.61E-17	4.52E-28	-2.28E-29	3.81E-39	1.91E-40	6.99E-13	-4.55E-34	3.83E-40	-7.43E-35	-2.44E-63	-6.53E-33	-2.32E-48	2.87E-36	-4.37E-62
0.0032	-0.000878461	7.97E-09	-8.85E-08	0.00060074	7.79E-12	1.99E-14	3.07E-07	3.53E-30	6.74E-33	-9.70E-26	5.78E-17	4.66E-28	-2.35E-29	3.91E-39	1.97E-40	7.20E-13	-4.69E-34	3.94E-40	-7.66E-35	-2.52E-63	-6.73E-33	-2.39E-48	2.96E-36	-4.50E-62
0.0033	-0.000892468	8.14E-09	-9.05E-08	0.000615916	7.99E-12	2.05E-14	3.15E-07	3.62E-30	6.90E-33	-9.95E-26	5.94E-17	4.79E-28	-2.41E-29	4.02E-39	2.03E-40	7.42E-13	-4.83E-34	4.06E-40	-7.89E-35	-2.59E-63	-6.93E-33	-2.46E-48	3.05E-36	-4.63E-62
0.0034	-0.000905762	8.30E-09	-9.25E-08	0.000630886	8.18E-12	2.10E-14	3.24E-07	3.71E-30	7.06E-33	-1.02E-25	6.10E-17	4.92E-28	-2.48E-29	4.13E-39	2.08E-40	7.63E-13	-4.96E-34	4.18E-40	-8.12E-35	-2.67E-63	-7.13E-33	-2.53E-48	3.14E-36	-4.77E-62
0.0035	-0.000918355	8.46E-09	-9.44E-08	0.000645649	8.38E-12	2.15E-14	3.32E-07	3.80E-30	7.22E-33	-1.05E-25	6.26E-17	5.05E-28	-2.55E-29	4.24E-39	2.14E-40	7.84E-13	-5.10E-34	4.29E-40	-8.34E-35	-2.74E-63	-7.33E-33	-2.60E-48	3.23E-36	-4.90E-62
0.0036	-0.000930254	8.62E-09	-9.63E-08	0.000660207	8.57E-12	2.21E-14	3.41E-07	3.89E-30	7.38E-33	-1.07E-25	6.42E-17	5.17E-28	-2.61E-29	4.35E-39	2.19E-40	8.05E-13	-5.23E-34	4.40E-40	-8.57E-35	-2.81E-63	-7.53E-33	-2.67E-48	3.31E-36	-5.03E-62
0.0037	-0.000941469	8.78E-09	-9.82E-08	0.00067456	8.76E-12	2.26E-14	3.49E-07	3.97E-30	7.53E-33	-1.10E-25	6.58E-17	5.30E-28	-2.68E-29	4.45E-39	2.25E-40	8.26E-13	-5.37E-34	4.52E-40	-8.79E-35	-2.89E-63	-7.73E-33	-2.74E-48	3.40E-36	-5.17E-62
0.0038	-0.000952009	8.92E-09	-1.00E-07	0.00068871	8.95E-12	2.31E-14	3.57E-07	4.06E-30	7.68E-33	-1.12E-25	6.73E-17	5.43E-28	-2.74E-29	4.56E-39	2.30E-40	8.47E-13	-5.50E-34	4.63E-40	-9.02E-35	-2.96E-63	-7.93E-33	-2.81E-48	3.49E-36	-5.30E-62
0.0039	-0.000961883	9.07E-09	-1.02E-07	0.000702658	9.13E-12	2.36E-14	3.65E-07	4.14E-30	7.83E-33	-1.14E-25	6.89E-17	5.55E-28	-2.81E-29	4.66E-39	2.35E-40	8.68E-13	-5.64E-34	4.74E-40	-9.24E-35	-3.03E-63	-8.12E-33	-2.88E-48	3.58E-36	-5.43E-62
0.004	-0.0009711	9.21E-09	-1.04E-07	0.000716404	9.31E-12	2.41E-14	3.73E-07	4.22E-30	7.97E-33	-1.17E-25	7.05E-17	5.68E-28	-2.87E-29	4.76E-39	2.41E-40	8.89E-13	-5.77E-34	4.86E-40	-9.46E-35	-3.10E-63	-8.32E-33	-2.95E-48	3.66E-36	-5.56E-62
0.0041	-0.00097967	9.35E-09	-1.05E-07	0.00072995	9.49E-12	2.46E-14	3.81E-07	4.30E-30	8.12E-33	-1.19E-25	7.20E-17	5.80E-28	-2.93E-29	4.87E-39	2.46E-40	9.10E-13	-5.91E-34	4.97E-40	-9.68E-35	-3.17E-63	-8.52E-33	-3.02E-48	3.75E-36	-5.69E-62
0.0042	-0.000987601	9.48E-09	-1.07E-07	0.000743296	9.67E-12	2.51E-14	3.89E-07	4.39E-30	8.26E-33	-1.22E-25	7.35E-17	5.93E-28	-3.00E-29	4.97E-39	2.51E-40	9.30E-13	-6.04E-34	5.08E-40	-9.90E-35	-3.24E-63	-8.71E-33	-3.09E-48	3.84E-36	-5.82E-62
0.0043	-0.000994902	9.61E-09	-1.08E-07	0.000756443	9.85E-12	2.56E-14	3.97E-07	4.46E-30	8.39E-33	-1.24E-25	7.51E-17	6.05E-28	-3.06E-29	5.07E-39	2.57E-40	9.51E-13	-6.17E-34	5.19E-40	-1.01E-34	-3.32E-63	-8.91E-33	-3.16E-48	3.92E-36	-5.95E-62
0.0044	-0.001001583	9.73E-09	-1.10E-07	0.000769393	1.00E-11	2.61E-14	4.05E-07	4.54E-30	8.53E-33	-1.26E-25	7.66E-17	6.17E-28	-3.12E-29	5.17E-39	2.62E-40	9.71E-13	-6.30E-34	5.30E-40	-1.03E-34	-3.39E-63	-9.10E-33	-3.23E-48	4.01E-36	-6.08E-62
0.0045	-0.001007653	9.85E-09	-1.12E-07	0.000782146	1.02E-11	2.66E-14	4.13E-07	4.62E-30	8.66E-33	-1.28E-25	7.81E-17	6.29E-28	-3.18E-29	5.27E-39	2.67E-40	9.92E-13	-6.43E-34	5.41E-40	-1.06E-34	-3.46E-63	-9.30E-33	-3.30E-48	4.10E-36	-6.21E-62
0.0046	-0.001013121	9.97E-09	-1.13E-07	0.000794704	1.04E-11	2.71E-14	4.21E-07	4.70E-30	8.79E-33	-1.31E-25	7.96E-17	6.41E-28	-3.24E-29	5.37E-39	2.72E-40	1.01E-12	-6.56E-34	5.52E-40	-1.08E-34	-3.53E-63	-9.49E-33	-3.36E-48	4.18E-36	-6.34E-62
0.0047	-0.001017996	1.01E-08	-1.15E-07	0.000807066	1.05E-11	2.76E-14	4.29E-07	4.77E-30	8.92E-33	-1.33E-25	8.10E-17	6.53E-28	-3.31E-29	5.47E-39	2.77E-40	1.03E-12	-6.69E-34	5.63E-40	-1.10E-34	-3.60E-63	-9.68E-33	-3.43E-48	4.27E-36	-6.47E-62
0.0048	-0.001022287	1.02E-08	-1.16E-07	0.000819235	1.07E-11	2.80E-14	4.36E-07	4.85E-30	9.04E-33	-1.35E-25	8.25E-17	6.65E-28	-3.37E-29	5.56E-39	2.82E-40	1.05E-12	-6.82E-34	5.74E-40	-1.12E-34	-3.67E-63	-9.88E-33	-3.50E-48	4.35E-36	-6.60E-62
0.0049	-0.001026004	1.03E-08	-1.17E-07	0.00083121	1.08E-11	2.85E-14	4.44E-07	4.92E-30	9.16E-33	-1.37E-25	8.40E-17	6.76E-28	-3.43E-29	5.66E-39	2.87E-40	1.07E-12	-6.95E-34	5.85E-40	-1.14E-34	-3.74E-63	-1.01E-32	-3.56E-48	4.44E-36	-6.73E-62
0.005	-0.001029154	1.04E-08	-1.19E-07	0.000842994	1.10E-11	2.90E-14	4.51E-07	4.99E-30	9.28E-33	-1.39E-25	8.54E-17	6.88E-28	-3.49E-29	5.76E-39	2.92E-40	1.09E-12	-7.08E-34	5.96E-40	-1.16E-34	-3.80E-63	-1.03E-32	-3.63E-48	4.52E-36	-6.85E-62
