31.375	1	36.875	1	39.125	1								
31.5	1	37	1	39.25	1								
31.625	1	37.125	1	39.375	1								
31.75	1	37.25	1	39.5	1								
31.875	1	37.375	1	39.625	1								
32	1	37.5	1	39.75	1								
32.125	1	37.625	1	39.875	1								
32.25	1	37.75	1	40	1								
32.375	1	37.875	1										
32.5	1	38	1										
32.625	1	38.125	1										
32.75	1	38.25	1										
32.875	1	38.375	1										
33	1	38.5	1										
33.125	1	38.625	1										
33.25	1	38.75	1										
33.375	1	38.875	1										
33.5	1	39	1										
33.625	1	39.125	1										
33.75	1	39.25	1										
33.875	1	39.375	1										
34	1	39.5	1										
34.125	1	39.625	1										
34.25	1	39.75	1										
34.375	1	39.875	1										
34.5	1	40	1										
34.625	1												
34.75	1												
34.875	1												
35	1												
35.125	1												
35.25	1												
35.375	1												
35.5	1												
35.625	1												
35.75	1												
35.875	1												
36	1												
36.125	1												
36.25	1												
36.375	1												
36.5	1												
36.625	1												
36.75	1												
36.875	1												
37	1												
37.125	1												
37.25	1												
37.375	1												
37.5	1												
37.625	1												
37.75	1												
37.875	1												
38	1												
38.125	1												
38.25	1												
38.375	1												
38.5	1												
38.625	1												
38.75	1												
38.875	1												
39	1												
39.125	1												
39.25	1												
39.375	1												
39.5	1												
39.625	1												
39.75	1												
39.875	1												
40	1												
